date,state,hospitalizedCurrently,death,positiveIncrease
2020-07-06,TX,8698,2655,5318
2020-07-06,UT,244,190,517
2020-07-06,VA,783,1853,354
2020-07-06,VI,,6,1
2020-07-06,VT,24,56,2
2020-07-06,WA,248,1359,651
2020-07-06,WI,254,803,490
2020-07-06,WV,41,95,180
2020-07-06,WY,9,20,0
2020-07-05,AK,19,16,27
2020-07-05,AL,885,1007,1091
2020-07-05,AR,285,286,0
2020-07-05,AS,,0,0
2020-07-05,AZ,3182,1809,3536
2020-07-05,CA,7149,6331,5410
2020-07-05,CO,283,1521,247
2020-07-05,CT,95,4335,0
2020-07-05,DC,87,559,35
2020-07-05,DE,53,512,132
2020-07-05,FL,,3832,10059
2020-07-05,GA,1805,2860,2197
2020-07-05,GU,3,5,0
2020-07-05,HI,,19,24
2020-07-05,IA,141,721,312
2020-07-05,ID,75,93,376
2020-07-05,IL,1326,7230,639
2020-07-05,IN,632,2693,576
2020-07-05,KS,,277,0
2020-07-05,KY,455,585,0
2020-07-05,LA,926,3288,1937
2020-07-05,MA,636,8183,136
2020-07-05,MD,409,3243,291
2020-07-05,ME,25,109,18
2020-07-05,MI,548,6218,360
2020-07-05,MN,253,1508,512
2020-07-05,MO,739,1028,221
2020-07-05,MP,,2,0
2020-07-05,MS,872,1111,226
2020-07-05,MT,20,23,45
2020-07-05,NC,949,1396,1329
2020-07-05,ND,22,78,37
2020-07-05,NE,109,284,167
2020-07-05,NH,25,376,0
2020-07-05,NJ,917,15211,369
2020-07-05,NM,121,513,287
2020-07-05,NV,760,534,843
2020-07-05,NY,832,24904,533
2020-07-05,OH,693,2911,968
2020-07-05,OK,391,398,283
2020-07-05,OR,173,215,300
2020-07-05,PA,592,6753,479
2020-07-05,PR,118,155,129
2020-07-05,RI,61,960,24
2020-07-05,SC,1251,820,1461
2020-07-05,SD,59,97,35
2020-07-05,TN,949,646,1291
2020-07-05,TX,8181,2637,3449
2020-07-05,UT,237,184,410
2020-07-05,VA,792,1853,639
2020-07-05,VI,,6,0
2020-07-05,VT,15,56,11
2020-07-05,WA,305,1354,469
2020-07-05,WI,244,803,533
2020-07-05,WV,27,94,121
2020-07-05,WY,8,20,28
2020-07-04,AK,23,16,48
2020-07-04,AL,800,1007,997
